"","Date","max","min","mean","sd"
"S2021-06-12",2021-06-12,0.997804021005494,0.000940330587242804,0.279308371962565,0.303100560591224
"L2021-06-25",2021-06-25,0.894735771486831,0.190649878542727,0.638194348196576,0.17970570305307
"S2021-06-25",2021-06-25,0.901865015770086,0.210175147741248,0.640626430901514,0.183756816984959
"S2021-06-27",2021-06-27,0.913602123979982,0.0893525904061559,0.631226141293346,0.197616678115069
"S2021-06-27.1",2021-06-27,0.906446635574111,0.192557806808122,0.636730032563483,0.184649527870672
"S2021-06-30",2021-06-30,0.908490983234584,0.0806003320913076,0.629666874903325,0.195993435535141
"S2021-06-30.1",2021-06-30,0.899437624495639,0.206557207428951,0.633013931099439,0.18257103085965
"L2021-07-02",2021-07-02,0.923109243641577,0.153593775234314,0.634243700551765,0.199053407181416
"L2021-07-02.1",2021-07-02,0.91160649935582,0.204189541954442,0.637045537313265,0.187601813532438
"S2021-07-02",2021-07-02,0.913804421392976,0.137467829845863,0.629801599757271,0.19802245220354
"S2021-07-02.1",2021-07-02,0.907954974255654,0.197498128483713,0.634995311228428,0.185486516426625
"S2021-07-03",2021-07-03,0.915022762912154,0.126252512191274,0.634989752187486,0.200463709425314
"S2021-07-03.1",2021-07-03,0.911518413311317,0.195834541328062,0.642723980552334,0.187809007301679
"S2021-07-05",2021-07-05,0.907619252444341,0.125121230017891,0.630450880065595,0.193292326048643
"S2021-07-05.1",2021-07-05,0.898626435613029,0.215668260338219,0.632560227749483,0.179698528189691
"S2021-07-10",2021-07-10,0.9182063543575,0.116010468672029,0.632478798359162,0.194295486412585
"S2021-07-10.1",2021-07-10,0.909013925086256,0.217092838197083,0.635587659437076,0.180974583586489
"L2021-07-11",2021-07-11,0.872506049348593,0.219200610496898,0.619224273422169,0.172774095676436
"L2021-07-11.1",2021-07-11,0.888196263482926,0.177167214495505,0.616009136806731,0.182831239604277
"S2021-07-13",2021-07-13,0.904727800405624,0.218928232652522,0.650790122069593,0.179950970864539
"L2021-07-18",2021-07-18,0.828110257164162,0.256708658205148,0.544080666463897,0.129473206517972
"S2021-07-18",2021-07-18,0.891764919812633,0.0496024123135651,0.175575081961544,0.156132142152151
"S2021-07-20",2021-07-20,0.892949242199968,0.221763959188592,0.627608803775171,0.178910370190385
"L2021-07-27",2021-07-27,0.879993691712455,0.230968380984254,0.621453995090047,0.164568443574279
"L2021-07-27.1",2021-07-27,0.893316196572901,0.191161375516535,0.618266394556951,0.174634425210904
"S2021-07-27",2021-07-27,0.900586061679294,0.15658913737719,0.642744892449057,0.179358035246635
"S2021-07-27.1",2021-07-27,0.888023431039479,0.252759579081977,0.640187826127558,0.165018273532473
"S2021-07-28",2021-07-28,0.904720275913113,0.151646429796744,0.639134141973158,0.187037552513105
"S2021-07-30",2021-07-30,0.896334852094001,0.142732046922998,0.629812499363491,0.183222159681463
"S2021-07-30.1",2021-07-30,0.884768782752415,0.231911522204982,0.63091282724271,0.170297348815608
"S2021-08-06",2021-08-06,0.899763715500618,0.190945226179665,0.644930498015204,0.180895728742817
"S2021-08-07",2021-08-07,0.913706689846972,0.113753879965057,0.643750726029639,0.198797126903637
"S2021-08-07.1",2021-08-07,0.898882952035452,0.205788198537901,0.643157097063443,0.18309629045002
"S2021-08-14",2021-08-14,0.899645279228929,0.182719854372682,0.647338460610822,0.182785481448572
"L2021-08-28",2021-08-28,0.877926238807661,0.174602573577705,0.630662971210169,0.178391466269559
"L2021-08-28.1",2021-08-28,0.892848365691816,0.103384330088085,0.627800521524179,0.18938883943553
"S2021-08-29",2021-08-29,0.892420537006524,0.11507294685792,0.647016309278124,0.188307472171388
"S2021-08-29.1",2021-08-29,0.883255421075738,0.21649378976326,0.648573596696542,0.174595919314863
"S2021-09-01",2021-09-01,0.882494636911553,0.187612542616403,0.645056827226022,0.179004647166676
"S2021-09-05",2021-09-05,0.893663506634872,0.129273501934823,0.643478549532801,0.185985674249011
"S2021-09-05.1",2021-09-05,0.877301814758801,0.204784582200069,0.641713193406163,0.170675059208362
"S2021-09-11",2021-09-11,0.886801903842517,0.0956607496518286,0.639054490805661,0.190538181198151
"S2021-09-11.1",2021-09-11,0.879750106242924,0.189135351800001,0.642454932354011,0.176377605715977
"L2021-09-29",2021-09-29,0.811370341692269,0.109881538212604,0.634690310760973,0.169657598348372
"L2021-09-29.1",2021-09-29,0.842629482071713,0.0214752567693744,0.631602686767402,0.183290913159734
"S2022-06-07",2022-06-07,0.86289575837337,0.153652567231991,0.590794972558255,0.18079137150268
"S2022-06-08",2022-06-08,0.895092183848351,0.0563978168587022,0.597777375726065,0.200061662122521
